title,author,isbn,edition,publisher,school_class,subject,section,notes,Unnamed: 9
Un Secret (roman),Philippe Grimbert,978-3125972216,2023,Klett / Livre de Poche,S6DE,FranÃ§ais L3,DE,,
Les Enfants sont rois (roman),D. de Vigan,978-2-07-297737-4,2023,Gallimard,S6DE,FranÃ§ais L3,DE,,
no book required,,,2023,,S6DE,S6EN Economics  2 period ,DE,,
Affresco italiano. Corso di lingua italiana per stranieri A2,"Trifone, Filippone, Sgaglione",9-788800-2026,2023,Le Monnier,S6DE,ITA L4,DE,,
Set Text: The Importance of Being EarnestÂ ,Oscar WildeÂ ,Â 9780140436068Â ,2023,Penguin Classics,S6DE,English L2,DE,,
Supporting Text: Persepolis: A Story of a Childhood and the Return,Marjane Satrapi,978-0099523994,2023,Vintage Books,S6DE,English L2,DE,,
The Great Gatsby  - F. Scott Fitzgerald,,978-0141182636,2023,Penguin Modern Classics,S6DE,Advanced English L2,DE,,
no book required,,,2023,,S6DE,Geography 4 period,DE,,
kein buch,,,2023,,S6DE,Economie (Deutsch),DE,,
"Mensch und Politik Sekundarstufe II, Politisches System",,978-3-14-118362-7,2023,Westermann,S6DE,Politik/Soziologie,DE,,
,,,2023,,S6DE,BYOD (Bring your own device),DE,,
wird von der Lehrerin bekannt gegeben,,,2023,,S6DE,Religion kath. ,DE,,
Economics cCourse Companion,Blink & Dorton,"9,78E+12",2023,Oxford Press,S6DE,Economics 4 period,DE,,
PAS DE LIVRE,,,2023,,S6FR,Biologie 2 pÃ©r.,FR,,
PAS DE LIVRE,,,2023,,S6FR,Biologie 4 pÃ©r.,FR,,
"Affrescoitaliano. Corso di lingua di italiano per stranieri, A1(volume)",M. Trifone â€“ A. Filippone â€“ A. Sgaglione,978-8800203319,2023,,S6FR,ITA L5 (NON FORMATA),FR,,
PAS DE LIVRE,,,2023,,S6FR,MATHS 3P,FR,,
PAS DE LIVRE,,,2023,,S6FR,MATHS 5P,FR,,
Calculatrice Numworks,,,2023,,S6FR,MATHS 4P & 6P,FR,,
wird vom Lehrer bekanntgegeben,,,2023,,S6FR,Politik/Soz.,FR,,
Aspekte Junior Kursbuch C1,,978-3-12-605258-0,2023,,S6FR,DE L2,FR,,
Aspekte Junior Ãœbungsbuch C1,,978-3-12-605259-7,2023,,S6FR,DE L2,FR,,
Theodor Fontane: Unterm Birnbaum (Einfach Deutsch),,978-3-14-022708-7,2023,Westermann,S6FR,DE  L2,FR,,
Grammatik Aktiv B2-C1 (WeiterfÃ¼hrung),,978-3-06-02148-2,2023,Cornelsen,S6FR,DE L2,FR,,
Gregor Tessnow: Knallhart,,978-3800050789,2023,,S6FR,DE L3,FR,,
Grammatik Aktib B1+,,978-3060244706,2023,Cornelsen,S6FR,DEL3,FR,,
course not formed,,,2023,,S6FR,Chemistry Laboratory,FR,,
Lengua y Literatura 1Â° Bto,,978-8468003870,2023,Santillana,S6FR,Spanisch L1,FR,,
Ninfa rota,Alfredo GÃ³mez CerdÃ¡,978-8469848081,2023,Anaya,S6FR,Spanisch  L3,FR,,
Nuevo CompaÃ±eros 4 - Kursbuch,,978-8417730543,2023,SGEL,S6FR,Spanisch L3,FR,,
Nuevo CompaÃ±eros 3 - Kursbuch,,978-84-17730-51-2,2023,SGEL,S6FR,Spanisch L4,FR,,
"Geschichte und Geschehen 8, Baden-WÃ¼rttemberg",,978 3 12 443230 8,2023,Klett,S6FR,Geschichte,FR,,
"Geschichte und Geschehen 9, Baden-WÃ¼rttemberg",,978 3 12-443240-7,2023,Klett,S6FR,Geschichte,FR,,
GCSE Modern World History 2nd Edition by Ben Walsh,,978-0719577130,2023,,S6FR,History 2 period,FR,,
"Mensch und Politik. Sekundarstufe II, B.-W., Politisches System",,978-3-14-118362-7,2023,Westermann,S6FR,"Politik/Soz., 2stÃ¼ndig, 6DEF",FR,,
Economics Course Companion 2nd Edition,Blink & Dorton,978-019839000-8,2023,Oxford Press,S6FR,S6EN Economics  4 period,FR,,
Set Text: The Crucible,Arthur Miller,978-1350245778Â Â ,2023,Bloomsbury,S6FR,English L3,FR,,
Set Text: My Name is Leon,Kit De Waal,978-0241973387,2023,Penguin,S6FR,English L3,FR,,
Es werden diverse elektronische Bauteile benÃ¶tigt. Diese werden im Unterricht angeschafft. Pro Semester ist mit einem Betrag von bis zu 30â‚¬ zu rechnen.,,,2023,,S6FR,ICT,FR,,
Pas de livre ,,,2023,,S6FR,Physique,FR,,
Pas de livre ,,,2023,,S6FR,Chimie ,FR,,
No book required,,,2023,,S6FR,S6EN Economics  2 period,FR,,
Manon Lescaut,AbbÃ© PrÃ©vost,979-1035822521,2023,Belin Gallimard,S6FR,FranÃ§ais Langue 1,FR,,
Les Cahiers de Douai,A. Rimbaud,978-2072925825,2023,Folio+LycÃ©e,S6FR,FranÃ§ais Langue 1,FR,,
Letteratura letterature. Guida storica,G.Armellini/A. Colombo,978-8808338778,2023,Zanichelli,S6FR,ITA L1,FR,,
Affresco italiano. Corso di lingua italiana per stranieri A2,"Trifone, Filippone, Sgaglione",978-8800203326,2023,Le Monnier,S6FR,ITA L4,FR,,
Set Text: The Importance of Being EarnestÂ ,Oscar WildeÂ ,Â 9780140436068Â ,2023,Penguin Classics,S6FR,English L2,FR,,
Supporting Text: Persepolis: A Story of a Childhood and the Return,Marjane Satrapi,978-0099523994,2023,Vintage Books,S6FR,English L2,FR,,
The Great Gatsby,F. Scott Fitzgerald,,2023,Penguin Modern Classics,S6FR,Advanced English L2,FR,978- 0141182636,
No book required,,,2023,\,,,,,
\,,,,,,,,,
,S6FR,Geography 4 period,FR,,,,,,
"\
\
Talent Max havo/vwo Jahr 2, Buch A/B + online",,978-94-020-55979,2023,\,,,,,
\,,,,,,,,,
Malmberg,S6FR,NiderlÃ¤ndisch,FR,,,,,,
